,id,env_id,algo_id,dataset_type_id,qvals_avg_error,qvals_summed_error,rollouts_rewards_final,force_dataset_coverage,dataset_entropy,dataset_coverage,kl_dist,chi_dist,info_text
235,gridEnv2_offline_cql_2022-02-07-02-02-12,gridEnv2,offline_cql,dirichlet,4.088309149278086,1308.2589277689874,0.0,False,4.199228415494398,0.7576923076923077,5.039921523835231,142.83495337757776,"Exp-id: gridEnv2_offline_cql_2022-02-07-02-02-12<br>Environment: gridEnv2<br>Algorithm: offline_cql<br>Dataset type: dirichlet(alpha=0.25,force_coverage=False)<br>Dataset coverage: 0.76<br>Dataset entropy: 4.20<br>Q-values avg error: 4.09<br>Q-values summed error: 1308.26<br>Rollouts rewards: 0.00<br>KL-dist: 5.04"
236,gridEnv2_offline_cql_2022-02-07-02-08-57,gridEnv2,offline_cql,dirichlet,3.25110527145073,1040.3536868642336,0.0,False,4.687723687894202,0.9576923076923077,4.7504258745519845,138.16719735964276,"Exp-id: gridEnv2_offline_cql_2022-02-07-02-08-57<br>Environment: gridEnv2<br>Algorithm: offline_cql<br>Dataset type: dirichlet(alpha=0.5,force_coverage=False)<br>Dataset coverage: 0.96<br>Dataset entropy: 4.69<br>Q-values avg error: 3.25<br>Q-values summed error: 1040.35<br>Rollouts rewards: 0.00<br>KL-dist: 4.75"
237,gridEnv2_offline_cql_2022-02-07-02-15-28,gridEnv2,offline_cql,dirichlet,2.4241940239360775,775.7420876595448,0.0,False,5.105280382164448,0.9923076923076923,3.5074197428040015,33.68677655566538,"Exp-id: gridEnv2_offline_cql_2022-02-07-02-15-28<br>Environment: gridEnv2<br>Algorithm: offline_cql<br>Dataset type: dirichlet(alpha=1.0,force_coverage=False)<br>Dataset coverage: 0.99<br>Dataset entropy: 5.11<br>Q-values avg error: 2.42<br>Q-values summed error: 775.74<br>Rollouts rewards: 0.00<br>KL-dist: 3.51"
238,gridEnv2_offline_cql_2022-02-07-02-22-13,gridEnv2,offline_cql,dirichlet,1.520737715492511,486.6360689576036,0.0,False,5.397746574254295,1.0,3.9546871358109748,86.1748659223442,"Exp-id: gridEnv2_offline_cql_2022-02-07-02-22-13<br>Environment: gridEnv2<br>Algorithm: offline_cql<br>Dataset type: dirichlet(alpha=2.5,force_coverage=False)<br>Dataset coverage: 1.00<br>Dataset entropy: 5.40<br>Q-values avg error: 1.52<br>Q-values summed error: 486.64<br>Rollouts rewards: 0.00<br>KL-dist: 3.95"
239,gridEnv2_offline_cql_2022-02-07-02-28-45,gridEnv2,offline_cql,dirichlet,1.7363638293077441,555.6364253784782,0.0,False,5.469548035056448,1.0,4.519329505704586,170.7964467229335,"Exp-id: gridEnv2_offline_cql_2022-02-07-02-28-45<br>Environment: gridEnv2<br>Algorithm: offline_cql<br>Dataset type: dirichlet(alpha=5.0,force_coverage=False)<br>Dataset coverage: 1.00<br>Dataset entropy: 5.47<br>Q-values avg error: 1.74<br>Q-values summed error: 555.64<br>Rollouts rewards: 0.00<br>KL-dist: 4.52"
240,gridEnv2_offline_cql_2022-02-07-02-35-29,gridEnv2,offline_cql,dirichlet,1.786486139389241,571.6755646045572,0.0,False,5.512796569134888,1.0,4.465487957110362,164.42029400921058,"Exp-id: gridEnv2_offline_cql_2022-02-07-02-35-29<br>Environment: gridEnv2<br>Algorithm: offline_cql<br>Dataset type: dirichlet(alpha=10.0,force_coverage=False)<br>Dataset coverage: 1.00<br>Dataset entropy: 5.51<br>Q-values avg error: 1.79<br>Q-values summed error: 571.68<br>Rollouts rewards: 0.00<br>KL-dist: 4.47"
241,gridEnv2_offline_cql_2022-02-07-02-41-59,gridEnv2,offline_cql,dirichlet,4.602263030461405,1472.7241697476497,0.0,True,3.3302271650682806,1.0,9.085488125956815,4592.836588773626,"Exp-id: gridEnv2_offline_cql_2022-02-07-02-41-59<br>Environment: gridEnv2<br>Algorithm: offline_cql<br>Dataset type: dirichlet(alpha=0.1,force_coverage=True)<br>Dataset coverage: 1.00<br>Dataset entropy: 3.33<br>Q-values avg error: 4.60<br>Q-values summed error: 1472.72<br>Rollouts rewards: 0.00<br>KL-dist: 9.09"
242,gridEnv2_offline_cql_2022-02-07-02-48-44,gridEnv2,offline_cql,dirichlet,3.713516132481037,1188.325162393932,0.0,True,4.208819017637346,1.0,4.797612550865202,140.32479972695793,"Exp-id: gridEnv2_offline_cql_2022-02-07-02-48-44<br>Environment: gridEnv2<br>Algorithm: offline_cql<br>Dataset type: dirichlet(alpha=0.25,force_coverage=True)<br>Dataset coverage: 1.00<br>Dataset entropy: 4.21<br>Q-values avg error: 3.71<br>Q-values summed error: 1188.33<br>Rollouts rewards: 0.00<br>KL-dist: 4.80"
243,gridEnv2_offline_cql_2022-02-07-02-55-31,gridEnv2,offline_cql,dirichlet,3.1866750056847435,1019.736001819118,0.0,True,4.689292418982821,1.0,4.750645366404839,138.1954992836218,"Exp-id: gridEnv2_offline_cql_2022-02-07-02-55-31<br>Environment: gridEnv2<br>Algorithm: offline_cql<br>Dataset type: dirichlet(alpha=0.5,force_coverage=True)<br>Dataset coverage: 1.00<br>Dataset entropy: 4.69<br>Q-values avg error: 3.19<br>Q-values summed error: 1019.74<br>Rollouts rewards: 0.00<br>KL-dist: 4.75"
244,gridEnv2_offline_cql_2022-02-07-03-02-05,gridEnv2,offline_cql,dirichlet,2.411963521390266,771.828326844885,0.0,True,5.105548952137729,1.0,3.4465692416072127,33.0213223763625,"Exp-id: gridEnv2_offline_cql_2022-02-07-03-02-05<br>Environment: gridEnv2<br>Algorithm: offline_cql<br>Dataset type: dirichlet(alpha=1.0,force_coverage=True)<br>Dataset coverage: 1.00<br>Dataset entropy: 5.11<br>Q-values avg error: 2.41<br>Q-values summed error: 771.83<br>Rollouts rewards: 0.00<br>KL-dist: 3.45"
245,gridEnv2_offline_cql_2022-02-07-03-08-35,gridEnv2,offline_cql,dirichlet,1.520737715492511,486.6360689576036,0.0,True,5.397746574254295,1.0,3.9546871358109748,86.1748659223442,"Exp-id: gridEnv2_offline_cql_2022-02-07-03-08-35<br>Environment: gridEnv2<br>Algorithm: offline_cql<br>Dataset type: dirichlet(alpha=2.5,force_coverage=True)<br>Dataset coverage: 1.00<br>Dataset entropy: 5.40<br>Q-values avg error: 1.52<br>Q-values summed error: 486.64<br>Rollouts rewards: 0.00<br>KL-dist: 3.95"
246,gridEnv2_offline_cql_2022-02-07-03-15-09,gridEnv2,offline_cql,dirichlet,1.7363638293077441,555.6364253784782,0.0,True,5.469548035056448,1.0,4.519329505704586,170.7964467229335,"Exp-id: gridEnv2_offline_cql_2022-02-07-03-15-09<br>Environment: gridEnv2<br>Algorithm: offline_cql<br>Dataset type: dirichlet(alpha=5.0,force_coverage=True)<br>Dataset coverage: 1.00<br>Dataset entropy: 5.47<br>Q-values avg error: 1.74<br>Q-values summed error: 555.64<br>Rollouts rewards: 0.00<br>KL-dist: 4.52"
247,gridEnv2_offline_cql_2022-02-07-03-21-46,gridEnv2,offline_cql,dirichlet,1.786486139389241,571.6755646045572,0.0,True,5.512796569134888,1.0,4.465487957110362,164.42029400921058,"Exp-id: gridEnv2_offline_cql_2022-02-07-03-21-46<br>Environment: gridEnv2<br>Algorithm: offline_cql<br>Dataset type: dirichlet(alpha=10.0,force_coverage=True)<br>Dataset coverage: 1.00<br>Dataset entropy: 5.51<br>Q-values avg error: 1.79<br>Q-values summed error: 571.68<br>Rollouts rewards: 0.00<br>KL-dist: 4.47"
248,gridEnv2_offline_cql_2022-02-07-05-53-21,gridEnv2,offline_cql,eps-greedy,20.680539147686687,6617.77252725974,37.0,False,1.2399437500714199,0.05384615384615385,2.377094978840203,47.733800511024114,"Exp-id: gridEnv2_offline_cql_2022-02-07-05-53-21<br>Environment: gridEnv2<br>Algorithm: offline_cql<br>Dataset type: eps-greedy(epsilon=0.0,force_coverage=False)<br>Dataset coverage: 0.05<br>Dataset entropy: 1.24<br>Q-values avg error: 20.68<br>Q-values summed error: 6617.77<br>Rollouts rewards: 37.00<br>KL-dist: 2.38"
249,gridEnv2_offline_cql_2022-02-07-06-00-02,gridEnv2,offline_cql,eps-greedy,2.0026314562686007,640.8420660059522,37.0,False,1.9146818096222764,0.46923076923076923,1.5178964462260174,23.5939004850476,"Exp-id: gridEnv2_offline_cql_2022-02-07-06-00-02<br>Environment: gridEnv2<br>Algorithm: offline_cql<br>Dataset type: eps-greedy(epsilon=0.1,force_coverage=False)<br>Dataset coverage: 0.47<br>Dataset entropy: 1.91<br>Q-values avg error: 2.00<br>Q-values summed error: 640.84<br>Rollouts rewards: 37.00<br>KL-dist: 1.52"
250,gridEnv2_offline_cql_2022-02-07-06-06-36,gridEnv2,offline_cql,eps-greedy,0.8524476275700998,272.78324082243194,37.0,False,2.4682920664884023,0.676923076923077,1.2439445181593731,16.17732123235161,"Exp-id: gridEnv2_offline_cql_2022-02-07-06-06-36<br>Environment: gridEnv2<br>Algorithm: offline_cql<br>Dataset type: eps-greedy(epsilon=0.2,force_coverage=False)<br>Dataset coverage: 0.68<br>Dataset entropy: 2.47<br>Q-values avg error: 0.85<br>Q-values summed error: 272.78<br>Rollouts rewards: 37.00<br>KL-dist: 1.24"
251,gridEnv2_offline_cql_2022-02-07-06-13-03,gridEnv2,offline_cql,eps-greedy,1.2172225084900208,389.5112027168067,37.0,False,2.9714718080207096,0.7730769230769231,1.2279578034559269,10.902027639805532,"Exp-id: gridEnv2_offline_cql_2022-02-07-06-13-03<br>Environment: gridEnv2<br>Algorithm: offline_cql<br>Dataset type: eps-greedy(epsilon=0.3,force_coverage=False)<br>Dataset coverage: 0.77<br>Dataset entropy: 2.97<br>Q-values avg error: 1.22<br>Q-values summed error: 389.51<br>Rollouts rewards: 37.00<br>KL-dist: 1.23"
252,gridEnv2_offline_cql_2022-02-07-06-19-30,gridEnv2,offline_cql,eps-greedy,1.486123932420245,475.55965837447843,37.0,False,3.4897397011673252,0.8461538461538461,1.287496373826153,5.87314146640815,"Exp-id: gridEnv2_offline_cql_2022-02-07-06-19-30<br>Environment: gridEnv2<br>Algorithm: offline_cql<br>Dataset type: eps-greedy(epsilon=0.4,force_coverage=False)<br>Dataset coverage: 0.85<br>Dataset entropy: 3.49<br>Q-values avg error: 1.49<br>Q-values summed error: 475.56<br>Rollouts rewards: 37.00<br>KL-dist: 1.29"
253,gridEnv2_offline_cql_2022-02-07-06-25-55,gridEnv2,offline_cql,eps-greedy,1.4103187768754963,451.30200860015884,37.0,False,4.013273794835085,0.9,1.5057324741640554,5.16736587960242,"Exp-id: gridEnv2_offline_cql_2022-02-07-06-25-55<br>Environment: gridEnv2<br>Algorithm: offline_cql<br>Dataset type: eps-greedy(epsilon=0.5,force_coverage=False)<br>Dataset coverage: 0.90<br>Dataset entropy: 4.01<br>Q-values avg error: 1.41<br>Q-values summed error: 451.30<br>Rollouts rewards: 37.00<br>KL-dist: 1.51"
254,gridEnv2_offline_cql_2022-02-07-06-32-22,gridEnv2,offline_cql,eps-greedy,1.221454077955652,390.8653049458086,37.0,False,4.553858147478811,0.9538461538461539,1.8530025116412658,6.1473373406670975,"Exp-id: gridEnv2_offline_cql_2022-02-07-06-32-22<br>Environment: gridEnv2<br>Algorithm: offline_cql<br>Dataset type: eps-greedy(epsilon=0.6,force_coverage=False)<br>Dataset coverage: 0.95<br>Dataset entropy: 4.55<br>Q-values avg error: 1.22<br>Q-values summed error: 390.87<br>Rollouts rewards: 37.00<br>KL-dist: 1.85"
